Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR8774512_1	(1, 0.03629445529064816)	(2, 0.004658691276113049)	(3, 0.0)	(4, 0.0050920579064491454)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.013188642929857027)	(85, 0.0002603459867991567)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0018676537144157676)	(110, 0.0005213837960433487)	(115, 0.0023253868128835123)	(120, 0.0011088224436098563)	(125, 0.017684596846660187)	(130, 0.0)	(135, 0.043511419460972346)	(140, 0.03040191991938152)	(145, 0.0077651402785678635)	(150, 0.0)
ERR8774512_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 8.667775853049995e-05)	(40, 0.0075632031313828075)	(45, 0.0)	(50, 4.3350546390286704e-05)	(55, 2.1677791709371916e-05)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 6.508649669978917e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 6.519776110888351e-05)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
ERR8774514_1	(1, 0.000891053819650707)	(2, 0.0012870777394954655)	(3, 0.003663221258564017)	(4, 0.007623460457011603)	(5, 0.0027721674389133105)	(6, 0.0019801195992237932)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.00015854016218658592)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0001786137430176911)	(110, 0.000555880591290185)	(115, 0.002641364644162505)	(120, 0.0)	(125, 0.00037769687996534734)	(130, 0.0)	(135, 0.005871150341452172)	(140, 0.014817647339993308)	(145, 0.016544879080854228)	(150, 4.986852164268904e-05)
ERR8774514_2	(1, 0.0019801195992237932)	(2, 0.0041582511583699655)	(3, 0.007524454477050414)	(4, 0.013761831214605363)	(5, 0.016633004633479862)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0041391621979228535)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0001783155598950078)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.9859884542575224e-05)	(120, 1.986840756302855e-05)	(125, 9.939391578035456e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
ERR8774522_1	(1, 0.03360868520230534)	(2, 0.006083471208725892)	(3, 0.0)	(4, 0.0022937678327982873)	(5, 0.0)	(6, 9.972903620862118e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.012814573323611292)	(85, 0.00015970263369605793)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0017977535271924204)	(110, 0.0003796039971102146)	(115, 0.00263786702072704)	(120, 0.0008395431206337511)	(125, 0.016796130171608463)	(130, 2.0002424293824412e-05)	(135, 0.040141451591730624)	(140, 0.03002954306446682)	(145, 0.008753501400560224)	(150, 0.00010019538099293621)
ERR8774522_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0001396278916687029)	(40, 0.007799694275922064)	(45, 0.0)	(50, 3.990104540738967e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.00011977697527204345)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.9983841066113943e-05)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
ERR8774524_1	(1, 0.0007291738824498784)	(2, 0.001731787970818461)	(3, 0.00227866838265587)	(4, 0.004192749824086801)	(5, 0.0028255487944932787)	(6, 0.001367201029593522)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 1.823820407674928e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0002555612874301451)	(110, 0.0005294863653609289)	(115, 0.0022280032616506765)	(120, 0.0)	(125, 0.0005299063618913271)	(130, 0.0)	(135, 0.005266567881945492)	(140, 0.015386504041747372)	(145, 0.018617061685812463)	(150, 0.00018313894660309304)
ERR8774524_2	(1, 0.001914081441430931)	(2, 0.003919309618168096)	(3, 0.006927151883273844)	(4, 0.013945450501853926)	(5, 0.01558609173736615)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.004703646565809303)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00023706344766113202)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 9.136316584333227e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
ERR8774534_1	(1, 0.0005271386013054964)	(2, 0.000978971688138779)	(3, 0.0030875260933607646)	(4, 0.005873830128832675)	(5, 0.0031628316078329785)	(6, 0.0013554992604998478)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.00013559342462286195)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.00027130399552408697)	(110, 0.0005426596018416058)	(115, 0.0026834758791700157)	(120, 0.0)	(125, 0.0004674414936655646)	(130, 0.0)	(135, 0.005309169372910174)	(140, 0.014859170514336988)	(145, 0.015797380712801356)	(150, 0.00018862963213071884)
ERR8774534_2	(1, 0.001957943376277558)	(2, 0.004518330868332827)	(3, 0.008358912106415728)	(4, 0.013856214662887332)	(5, 0.01701904627072031)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.004081925295043368)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0003012920760033365)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 3.0157515720359006e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
