Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR8774512_1	(1, 30.191150436725223)	(2, 31.546405982192965)	(3, 32.295715304125864)	(4, 32.31064261770779)	(5, 32.672735605185665)	(6, 36.81700335642455)	(7, 37.16573890093889)	(8, 37.348412686374736)	(9, 37.407863004140815)	(10, 37.5027029076734)	(15, 37.52542345336867)	(20, 37.50196596771852)	(25, 37.52839201478647)	(30, 37.5221553394256)	(35, 37.51195647082092)	(40, 37.502557756251576)	(45, 37.48307234394833)	(50, 37.468566709608915)	(55, 37.39614745761046)	(60, 37.405224815767085)	(65, 37.38052880422629)	(70, 37.34355399685516)	(75, 37.30295472247584)	(80, 36.10649402933922)	(85, 36.549358005426235)	(90, 37.01915427757943)	(95, 37.02403519623401)	(100, 37.04888668492059)	(105, 36.975628766094886)	(110, 36.92266248450086)	(115, 36.84680308265196)	(120, 36.72697369703998)	(125, 36.55424669192178)	(130, 36.40399831290569)	(135, 36.144217423588444)	(140, 35.9244561221921)	(145, 35.48028123857433)	(150, 31.732975912106507)
ERR8774512_2	(1, 32.972814911279016)	(2, 33.05995302305727)	(3, 33.1273296164922)	(4, 33.11101444627662)	(5, 33.110820514709545)	(6, 37.296252678747486)	(7, 37.29748560681079)	(8, 37.292781412038494)	(9, 37.28038929324403)	(10, 37.27840685759356)	(15, 37.23714992101893)	(20, 37.196738482740095)	(25, 37.16823812629604)	(30, 37.13345339358254)	(35, 37.08476197717917)	(40, 37.04686887610243)	(45, 37.04714708443974)	(50, 37.0513829194564)	(55, 36.97740677549206)	(60, 36.9217631142504)	(65, 36.86516328748428)	(70, 36.76753386302104)	(75, 36.71396486782569)	(80, 36.60010574194244)	(85, 36.34396304785786)	(90, 36.35664748233176)	(95, 36.25456800202933)	(100, 36.00066585328431)	(105, 35.814503946245004)	(110, 35.71041675688498)	(115, 35.452414228730234)	(120, 35.16993662570961)	(125, 34.86401338723353)	(130, 34.563426782225825)	(135, 34.15728170927801)	(140, 33.8818563315157)	(145, 33.58318260803807)	(150, 29.058143189780598)
ERR8774514_1	(1, 30.363757870975405)	(2, 31.67390400380183)	(3, 32.3691230050295)	(4, 32.39967328026613)	(5, 32.742655736406476)	(6, 36.784039245970455)	(7, 37.13108985782741)	(8, 37.261441131044315)	(9, 37.3477010811453)	(10, 37.42538592530989)	(15, 37.470650667300305)	(20, 37.44632727416736)	(25, 37.47166666666667)	(30, 37.46066641344986)	(35, 37.42709661642307)	(40, 37.43359257569542)	(45, 37.41926951132328)	(50, 37.34445223632023)	(55, 37.35486463887269)	(60, 37.320378437835515)	(65, 37.292666594749704)	(70, 37.185197418246204)	(75, 37.13086497516433)	(80, 37.131286933239686)	(85, 37.081075882160675)	(90, 36.96738562385258)	(95, 36.99577675034489)	(100, 36.883960288776684)	(105, 36.81092278596457)	(110, 36.758263124404095)	(115, 36.65185954797774)	(120, 36.490733812907855)	(125, 36.26756403184038)	(130, 36.12836878138254)	(135, 35.80690535604298)	(140, 35.58865065166676)	(145, 35.3176518748876)	(150, 31.55850240142093)
ERR8774514_2	(1, 32.93427389014296)	(2, 33.011602510791654)	(3, 33.064525167320106)	(4, 32.99421310047127)	(5, 33.01094511108471)	(6, 37.194381410637206)	(7, 37.19546156587858)	(8, 37.19271216981506)	(9, 37.19322403073146)	(10, 37.19137638113342)	(15, 37.120293057700685)	(20, 37.13954338442042)	(25, 37.119637044077464)	(30, 37.0909800838847)	(35, 37.062932135675496)	(40, 37.02317802770356)	(45, 37.000525402925476)	(50, 36.969536309718706)	(55, 36.921757683266854)	(60, 36.84521683766044)	(65, 36.77824694563037)	(70, 36.70617376613792)	(75, 36.59448034770579)	(80, 36.5155559029101)	(85, 36.43144893312427)	(90, 36.25633274234535)	(95, 36.222439268965154)	(100, 36.08399752947332)	(105, 35.85503325181751)	(110, 35.665965391675584)	(115, 35.39656464517479)	(120, 35.093966837884935)	(125, 34.9198768828388)	(130, 34.57096989855098)	(135, 34.24802597640472)	(140, 33.927993104242105)	(145, 33.69460131921393)	(150, 29.40764115050839)
ERR8774522_1	(1, 26.994886892313584)	(2, 30.253267871193966)	(3, 31.55308227545758)	(4, 31.61584774168584)	(5, 31.950829595987702)	(6, 35.4979560534029)	(7, 36.65152181522802)	(8, 36.42238138976401)	(9, 36.938826209189635)	(10, 37.31553070307974)	(15, 37.38574692560313)	(20, 37.423267781437836)	(25, 37.47166408867108)	(30, 37.471116096159626)	(35, 37.46036303216834)	(40, 37.44655913971893)	(45, 37.42542960665492)	(50, 37.40354620530446)	(55, 37.32621250979026)	(60, 37.334199839217305)	(65, 37.30610622432717)	(70, 37.258347696135644)	(75, 37.213311032237186)	(80, 36.00409263912711)	(85, 36.43869095369594)	(90, 36.90370476482732)	(95, 36.90024159250346)	(100, 36.915463140404356)	(105, 36.82936078662407)	(110, 36.77127760023784)	(115, 36.68455532155356)	(120, 36.557336918078)	(125, 36.36694625324445)	(130, 36.20764929332932)	(135, 35.938152719257126)	(140, 35.71675482082527)	(145, 35.26796945246107)	(150, 31.571101367900063)
ERR8774522_2	(1, 32.756443742352026)	(2, 32.85959148992188)	(3, 32.929968276193584)	(4, 32.90058411296507)	(5, 32.8934734326834)	(6, 37.05259310453498)	(7, 37.045070543333765)	(8, 37.04337614700858)	(9, 37.01920681508342)	(10, 37.02630931758413)	(15, 36.98019840094463)	(20, 36.92729872935235)	(25, 36.891982683050145)	(30, 36.83804391682402)	(35, 36.7592654744816)	(40, 36.69665674836157)	(45, 36.672083824567736)	(50, 36.66587813481034)	(55, 36.58260240340034)	(60, 36.497953508942125)	(65, 36.41341553601945)	(70, 36.27400185217298)	(75, 36.18475742177666)	(80, 36.03335438479442)	(85, 35.729782652164474)	(90, 35.69698656846008)	(95, 35.54962980406269)	(100, 35.23986529422923)	(105, 34.982010153469425)	(110, 34.80629937732509)	(115, 34.46700582796079)	(120, 34.096727386133196)	(125, 33.71103543643175)	(130, 33.32338300333764)	(135, 32.85118899771983)	(140, 32.48429092903167)	(145, 32.1241048027687)	(150, 27.800208395392133)
ERR8774524_1	(1, 27.023145801963665)	(2, 30.28334147577502)	(3, 31.61896198451964)	(4, 31.774646077226805)	(5, 32.11143052978129)	(6, 35.72813025233062)	(7, 36.70000054688041)	(8, 36.484406616523806)	(9, 36.93337811676261)	(10, 37.24687020340305)	(15, 37.335163681307264)	(20, 37.36703733005692)	(25, 37.41121979852925)	(30, 37.40745319912374)	(35, 37.37109505123853)	(40, 37.3766494824737)	(45, 37.35714616181883)	(50, 37.274374441757935)	(55, 37.28102996934447)	(60, 37.24249443650224)	(65, 37.21010000137088)	(70, 37.091563530913916)	(75, 37.03202662902536)	(80, 37.02885000160352)	(85, 36.97040791136744)	(90, 36.846393761490944)	(95, 36.86789220515667)	(100, 36.74072723862139)	(105, 36.65395934035412)	(110, 36.59444165427933)	(115, 36.47776882807252)	(120, 36.30756682845994)	(125, 36.066957533060915)	(130, 35.921532225509864)	(135, 35.59129961287202)	(140, 35.380090090268055)	(145, 35.09361393242119)	(150, 31.386020610551668)
ERR8774524_2	(1, 32.736388146549366)	(2, 32.820763590889705)	(3, 32.88147825421189)	(4, 32.80106222405326)	(5, 32.821588468844226)	(6, 36.97949745336022)	(7, 36.97688154205693)	(8, 36.96300718600861)	(9, 36.95626688493272)	(10, 36.95957715206556)	(15, 36.88202549921066)	(20, 36.895727041048836)	(25, 36.85654415330151)	(30, 36.81493370910277)	(35, 36.76016801949524)	(40, 36.6909382327733)	(45, 36.64907587694601)	(50, 36.610644001726705)	(55, 36.54150908211194)	(60, 36.439664629403964)	(65, 36.34458647520286)	(70, 36.235310410031715)	(75, 36.09258244925921)	(80, 35.97620270678096)	(85, 35.857088559200974)	(90, 35.64662554273026)	(95, 35.5719556631705)	(100, 35.3789637697604)	(105, 35.09040980034443)	(110, 34.83721624976233)	(115, 34.49315490439403)	(120, 34.10769028245478)	(125, 33.86766028700912)	(130, 33.427881581467716)	(135, 33.0311547530859)	(140, 32.65163057353574)	(145, 32.35509320655094)	(150, 28.25584607617226)
ERR8774534_1	(1, 26.667891385350366)	(2, 30.587571276669447)	(3, 31.918959970600728)	(4, 32.62083974685298)	(5, 32.825523900464184)	(6, 36.54770378425271)	(7, 36.90676273642166)	(8, 36.8589806344339)	(9, 37.08947725924074)	(10, 37.17901702205849)	(15, 37.230933698012834)	(20, 37.267207912501014)	(25, 37.31285480193144)	(30, 37.30839171360497)	(35, 37.263604761680774)	(40, 37.26091901320834)	(45, 37.23990160410477)	(50, 37.149918770140246)	(55, 37.143594006390096)	(60, 37.09808711745196)	(65, 37.048487089546796)	(70, 36.91574784005093)	(75, 36.84257333081233)	(80, 36.825465877144865)	(85, 36.747011442866395)	(90, 36.59942592400435)	(95, 36.6041027239405)	(100, 36.45670190976252)	(105, 36.34811732536697)	(110, 36.26570743494614)	(115, 36.12555767983368)	(120, 35.918460702143975)	(125, 35.628826594041435)	(130, 35.44221840394008)	(135, 35.05786971178044)	(140, 34.79163388493747)	(145, 34.46493020273266)	(150, 30.72055093722277)
ERR8774534_2	(1, 32.66615182796606)	(2, 32.765326178305386)	(3, 32.825551010449395)	(4, 32.74063500622024)	(5, 32.758379244595325)	(6, 36.89204427361807)	(7, 36.89273633129607)	(8, 36.8849339269416)	(9, 36.88334799280682)	(10, 36.88067555070923)	(15, 36.797745051674646)	(20, 36.8029628201614)	(25, 36.765622430199315)	(30, 36.722524633771236)	(35, 36.669260535084604)	(40, 36.60459303583575)	(45, 36.554592862757055)	(50, 36.50949337030532)	(55, 36.4297807070864)	(60, 36.32410592315106)	(65, 36.22168449723204)	(70, 36.09935848718705)	(75, 35.94686528152839)	(80, 35.81080963542762)	(85, 35.689646885104324)	(90, 35.46798024095668)	(95, 35.38619291242616)	(100, 35.18255493449375)	(105, 34.87943501699823)	(110, 34.61148677558798)	(115, 34.250762816982565)	(120, 33.85199360349917)	(125, 33.593342617737164)	(130, 33.1361538181896)	(135, 32.73383788769887)	(140, 32.3449958492336)	(145, 32.027264722464395)	(150, 27.958830549718968)
