Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR8774512_1	(1, 0.047456290120338605)	(2, 0.006222046926888839)	(3, 0.0)	(4, 0.005800213236930274)	(5, 0.000316375267468924)	(6, 0.003374669519668523)	(7, 0.002741918984730675)	(8, 0.006327505349378481)	(9, 0.013076844388715527)	(10, 0.01948871647608572)	(15, 0.026132597092933127)	(20, 0.03191171864536547)	(25, 0.02585840519446006)	(30, 0.013583044816665807)	(35, 0.012739377436748675)	(40, 0.012127718586308754)	(45, 0.022568102412783248)	(50, 0.03073058431348149)	(55, 0.0290221578691493)	(60, 0.02501473781454293)	(65, 0.027377006478310893)	(70, 0.024930371076551213)	(75, 0.030625125890991846)	(80, 0.045262754932554064)	(85, 0.028115215435738382)	(90, 0.023707053375671375)	(95, 0.025056921183538784)	(100, 0.017569373186774248)	(105, 0.020585484069977993)	(110, 0.02145024313439305)	(115, 0.025120196237032568)	(120, 0.022357185567803965)	(125, 0.09214956957144861)	(130, 0.06559513878855691)	(135, 0.12245832019497155)	(140, 0.1346071304657782)	(145, 0.11693229885651434)	(150, 0.06401326245121229)
ERR8774512_2	(1, 0.04228882741834618)	(2, 0.0487217911902143)	(3, 0.06622788932349477)	(4, 0.07529731365760392)	(5, 0.09290887021337403)	(6, 0.08869053331378837)	(7, 0.08605407275154733)	(8, 0.07276631151785252)	(9, 0.08130844373951349)	(10, 0.07582460577005214)	(15, 0.06787304071433317)	(20, 0.0687167080942503)	(25, 0.07428491280170336)	(30, 0.08078115162706527)	(35, 0.09495476360967306)	(40, 0.12241613682597567)	(45, 0.10197829454748318)	(50, 0.09974257599070278)	(55, 0.10138772738154118)	(60, 0.1010924437985702)	(65, 0.08554787232359706)	(70, 0.07519185523511428)	(75, 0.07238666119688981)	(80, 0.07436927953969508)	(85, 0.0747700215451557)	(90, 0.06911745009971093)	(95, 0.06544749699707142)	(100, 0.07732211536940503)	(105, 0.08607516443604527)	(110, 0.09902545871777323)	(115, 0.10495222206169105)	(120, 0.0987090834503043)	(125, 0.10339143740884438)	(130, 0.06994002579513013)	(135, 0.05104187648498641)	(140, 0.05928872512367637)	(145, 0.07825014948731387)	(150, 0.084683113259182)
ERR8774514_1	(1, 0.007254577638489887)	(2, 0.0013541878258514456)	(3, 0.0035789249683216774)	(4, 0.01537970459359856)	(5, 0.0029985587572424867)	(6, 0.004836385092326591)	(7, 0.00029018310553959546)	(8, 0.00029018310553959546)	(9, 9.672770184653183e-05)	(10, 0.006325991700763181)	(15, 0.009015021812096766)	(20, 0.009518005861698731)	(25, 0.006461410483348326)	(30, 0.0014702610680672838)	(35, 0.00297921321687318)	(40, 0.004178636719770175)	(45, 0.001741098633237573)	(50, 0.004236673340878094)	(55, 0.0067709391292572274)	(60, 0.0029985587572424867)	(65, 0.0029598676765038743)	(70, 0.004855730632695898)	(75, 0.006055154135592893)	(80, 0.004952458334542429)	(85, 0.005010494955650349)	(90, 0.0035015428068444526)	(95, 0.002901831055395955)	(100, 0.008589419923972027)	(105, 0.024336689784587407)	(110, 0.022595591151349834)	(115, 0.03002427865316348)	(120, 0.009808188967238328)	(125, 0.04021937842778794)	(130, 0.02039019954924891)	(135, 0.04700966309741447)	(140, 0.07270054070785331)	(145, 0.11626669761953126)	(150, 0.06862830446011434)
ERR8774514_2	(1, 0.07273923178859194)	(2, 0.07273923178859194)	(3, 0.09334223228190322)	(4, 0.10756120445334338)	(5, 0.11442887128444716)	(6, 0.09053712892835379)	(7, 0.08415310060648269)	(8, 0.0686766683110376)	(9, 0.08308909588617083)	(10, 0.07685983188725419)	(15, 0.06666473211262973)	(20, 0.06697426075853864)	(25, 0.07287465057117708)	(30, 0.07070795004981477)	(35, 0.09554762388400415)	(40, 0.11723397463799658)	(45, 0.09703723049244073)	(50, 0.09353568768559628)	(55, 0.09717264927502588)	(60, 0.09398063511409031)	(65, 0.08318582358801736)	(70, 0.06772873683294159)	(75, 0.06467214145459117)	(80, 0.07016627491947419)	(85, 0.0717139181490187)	(90, 0.0677480823733109)	(95, 0.06502036118123869)	(100, 0.07585386378805026)	(105, 0.08171556251995009)	(110, 0.09343895998374975)	(115, 0.09879767466604761)	(120, 0.09196869891568246)	(125, 0.09883636574678623)	(130, 0.06823172088254356)	(135, 0.04124469206736117)	(140, 0.054844606946983544)	(145, 0.07304876043450083)	(150, 0.08241200197324511)
ERR8774522_1	(1, 0.043548469731441615)	(2, 0.006831132506892802)	(3, 0.0)	(4, 0.00246679784971129)	(5, 0.001233398924855645)	(6, 0.004269457816808001)	(7, 0.00246679784971129)	(8, 0.006736255666519291)	(9, 0.012428866088929959)	(10, 0.017267584947979028)	(15, 0.023889988406050108)	(20, 0.02905128852236911)	(25, 0.023871013037975404)	(30, 0.012239112408182939)	(35, 0.011650875997867169)	(40, 0.010702107594132058)	(45, 0.020948806354471262)	(50, 0.02886153484162209)	(55, 0.026907071929927757)	(60, 0.023795111565676597)	(65, 0.025654697636997414)	(70, 0.02349150567648136)	(75, 0.02943079588386316)	(80, 0.04332076531454519)	(85, 0.026261909415387884)	(90, 0.022087328438953394)	(95, 0.02305507221076321)	(100, 0.015692629397778744)	(105, 0.01948770301271919)	(110, 0.019506678380793892)	(115, 0.024136668191021234)	(120, 0.02068315120142543)	(125, 0.08721079167133144)	(130, 0.06191662602775338)	(135, 0.11717289786128625)	(140, 0.12941201026946922)	(145, 0.11387118381628808)	(150, 0.06072117783904713)
ERR8774522_2	(1, 0.041650932923971394)	(2, 0.04952571067497282)	(3, 0.06669841878257834)	(4, 0.07267565972610954)	(5, 0.08870984574923292)	(6, 0.08472501845354545)	(7, 0.08216334376346066)	(8, 0.0715371376416274)	(9, 0.07874777751001424)	(10, 0.07426959064438453)	(15, 0.06745743350556642)	(20, 0.06719177835252059)	(25, 0.07180279279467323)	(30, 0.07796978741895146)	(35, 0.09055045645247904)	(40, 0.11853912436266482)	(45, 0.09734363822322244)	(50, 0.09466811132468941)	(55, 0.09595843635376917)	(60, 0.09603433782606799)	(65, 0.0825997772291788)	(70, 0.07330184687257471)	(75, 0.07037964018907056)	(80, 0.0731690192960518)	(85, 0.07244795530921311)	(90, 0.06821644822855451)	(95, 0.06417469482864294)	(100, 0.07518040831197023)	(105, 0.0825808018611041)	(110, 0.09337778629560967)	(115, 0.10030379564287598)	(120, 0.09341573703175908)	(125, 0.09766621948049238)	(130, 0.06800771917973279)	(135, 0.05049345444678264)	(140, 0.05863388735082988)	(145, 0.07671741312602112)	(150, 0.08050299905692421)
ERR8774524_1	(1, 0.004980414737484087)	(2, 0.0019222653372745597)	(3, 0.0021843924287210906)	(4, 0.00917444820062858)	(5, 0.0028833980059118397)	(6, 0.00410665776599565)	(7, 0.00026212709144653087)	(8, 0.0)	(9, 0.00017475139429768725)	(10, 0.005277492107790155)	(15, 0.008789995133173668)	(20, 0.009034647085190431)	(25, 0.006203674497567898)	(30, 0.00260379577503554)	(35, 0.0037222046985407385)	(40, 0.00494546445862455)	(45, 0.002568845496176003)	(50, 0.0038969560928384258)	(55, 0.00658812756502281)	(60, 0.0035824035831025884)	(65, 0.0033028013522262887)	(70, 0.005172641271211542)	(75, 0.006238624776427434)	(80, 0.0054522435020878425)	(85, 0.005312442386649692)	(90, 0.0041765583237147255)	(95, 0.003879480953408657)	(100, 0.0087725199937439)	(105, 0.025845731216627945)	(110, 0.02397589129764269)	(115, 0.032119306271914914)	(120, 0.010642359912729155)	(125, 0.03865500841864842)	(130, 0.019834283252787504)	(135, 0.044404329291042335)	(140, 0.07231212696038299)	(145, 0.11949500342075856)	(150, 0.06854623441326782)
ERR8774524_2	(1, 0.06457064019299544)	(2, 0.06518227007303735)	(3, 0.0829195365942526)	(4, 0.09917141626393751)	(5, 0.10388970390997508)	(6, 0.08082251986268035)	(7, 0.07295870711928443)	(8, 0.05941547406121367)	(9, 0.07208495014779599)	(10, 0.06803071780008965)	(15, 0.0577203855365261)	(20, 0.058157264022270325)	(25, 0.06444831421698706)	(30, 0.0617396676053729)	(35, 0.08575050918187513)	(40, 0.10769928430566465)	(45, 0.08765529937971993)	(50, 0.08475442623437832)	(55, 0.08769024965857947)	(60, 0.08547090695099883)	(65, 0.07405964090335986)	(70, 0.058786369041742)	(75, 0.05586802075697062)	(80, 0.06149501565335615)	(85, 0.0626308997162911)	(90, 0.05911839669090759)	(95, 0.05609519756955761)	(100, 0.06642300497255092)	(105, 0.07192767389292808)	(110, 0.08405542065718757)	(115, 0.08915816137068003)	(120, 0.08223800615649161)	(125, 0.08931543762554796)	(130, 0.05950284975836251)	(135, 0.03470562690752069)	(140, 0.04706055048436718)	(145, 0.06423861254382983)	(150, 0.0723033893906681)
ERR8774534_1	(1, 0.00806338110764467)	(2, 0.0015393727569139827)	(3, 0.003005442049213014)	(4, 0.010482395439938072)	(5, 0.0032986559076728203)	(6, 0.005131242523046609)	(7, 0.0006597311815345641)	(8, 0.00021991039384485465)	(9, 0.00014660692922990312)	(10, 0.006802561516267505)	(15, 0.009969271187633412)	(20, 0.009353522084867819)	(25, 0.0070664539888813304)	(30, 0.002580281954446295)	(35, 0.003973047782130375)	(40, 0.005307170838122493)	(45, 0.0026096033402922755)	(50, 0.00464743965658793)	(55, 0.007301025075649175)	(60, 0.0037091553095165487)	(65, 0.003958387089207384)	(70, 0.005497759846121367)	(75, 0.006963829138420398)	(80, 0.005585724003659309)	(85, 0.005439117074429406)	(90, 0.004339565105205132)	(95, 0.0036505125378245877)	(100, 0.009426825549482772)	(105, 0.026741103891534328)	(110, 0.025143088362928386)	(115, 0.03278130937580634)	(120, 0.011230090779010578)	(125, 0.039261335647768056)	(130, 0.020671577021416337)	(135, 0.04496434519481129)	(140, 0.07198400225188242)	(145, 0.11702165091130867)	(150, 0.06952833618728156)
ERR8774534_2	(1, 0.06450704886115737)	(2, 0.06494686964884708)	(3, 0.08605826745795314)	(4, 0.09888637376556965)	(5, 0.10526377518707045)	(6, 0.08012068682414206)	(7, 0.07271703689803194)	(8, 0.06003553751964533)	(9, 0.07286364382726186)	(10, 0.06821620417067392)	(15, 0.057865754967042764)	(20, 0.058378879219347424)	(25, 0.06443374539654242)	(30, 0.061237714339330535)	(35, 0.08513464380380474)	(40, 0.10567427458891418)	(45, 0.0863954633951819)	(50, 0.083228753723816)	(55, 0.08651274893856584)	(60, 0.08404975252750346)	(65, 0.0735380357017194)	(70, 0.05897996762919003)	(75, 0.05554936548521029)	(80, 0.06170685651286622)	(85, 0.06273310501747555)	(90, 0.05933182425934179)	(95, 0.055930543501208047)	(100, 0.06655954587037602)	(105, 0.07155884215711572)	(110, 0.08286223640074124)	(115, 0.08778822922286598)	(120, 0.08151345265182613)	(125, 0.08800813961671085)	(130, 0.05899462832211302)	(135, 0.03411543243179846)	(140, 0.046415753794187324)	(145, 0.06444840608946541)	(150, 0.07308355422110671)
