Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
ERR8774487_1 - polya	(1, 0.0005242042579364525)	(2, 0.0005242042579364525)	(3, 0.0005242042579364525)	(4, 0.0006989390105819366)	(5, 0.033898542013223926)	(6, 0.033898542013223926)	(7, 0.05486671233068202)	(8, 0.06762234927380237)	(9, 0.0683212882843843)	(10, 0.06929980289919901)	(15, 0.07024337056348465)	(20, 0.07073262787089199)	(25, 0.07094230957406657)	(30, 0.07209555894152676)	(35, 0.07265471014999232)	(40, 0.07279449795210871)	(45, 0.07321386135845787)	(50, 0.07468163328067992)	(55, 0.0760096174007856)	(60, 0.07663866251030936)	(65, 0.07737254847142037)	(70, 0.07884032039364244)	(75, 0.07971399415686989)	(80, 0.08030809231586451)	(85, 0.0814962886338538)	(90, 0.08250975019919761)	(95, 0.08443183247829794)	(100, 0.08761200497644576)	(105, 0.09320351706110123)	(110, 0.099249339502635)	(115, 0.10550484364734333)	(120, 0.11375232397221018)	(125, 0.12241916770342623)	(130, 0.13094622363252584)	(135, 0.13961306736374185)	(140, 0.14642772271691573)
ERR8774487_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.00010484085158729049)	(30, 0.001258090219047486)	(35, 0.0040887932119043294)	(40, 0.008806631533332401)	(45, 0.0154116051833317)	(50, 0.021667109328040036)	(55, 0.030264059158197854)	(60, 0.038965849839942966)	(65, 0.04812195087856634)	(70, 0.05738289276877699)	(75, 0.06699330416427862)	(80, 0.07775696492724045)	(85, 0.09065238967247717)	(90, 0.10421180647776676)	(95, 0.11833037449152187)	(100, 0.1312956931378168)	(105, 0.1490836909571271)	(110, 0.16826956679760124)	(115, 0.1886086920055356)	(120, 0.21160378545368133)	(125, 0.23795378615262033)	(130, 0.2626263332261627)	(135, 0.2943931112571117)	(140, 0.3164446370409718)
ERR8774512_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00010545842248964134)	(15, 0.00010545842248964134)	(20, 0.00010545842248964134)	(25, 0.0002741918984730675)	(30, 0.0019404349738094007)	(35, 0.005441654600465494)	(40, 0.012507368907271466)	(45, 0.021492426503388905)	(50, 0.030456392415008422)	(55, 0.04142406835393112)	(60, 0.052159735763376604)	(65, 0.06323287012478895)	(70, 0.074980938390135)	(75, 0.0860962561205432)	(80, 0.1001222263116655)	(85, 0.11602535642310341)	(90, 0.13595699827364563)	(95, 0.1584618256329351)	(100, 0.18100883636122042)	(105, 0.20878658484499196)	(110, 0.24141542076328698)	(115, 0.27796730999819663)	(120, 0.3181680606512479)	(125, 0.36539234224210937)	(130, 0.41814264517142796)	(135, 0.47595495238024926)	(140, 0.5151643938618979)
ERR8774512_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 4.2183368995856534e-05)	(20, 0.00010545842248964134)	(25, 0.00021091684497928268)	(30, 0.0018349765513197593)	(35, 0.0052940128089799966)	(40, 0.01229645206229218)	(45, 0.021386968080899266)	(50, 0.03037202567701671)	(55, 0.04114987645545805)	(60, 0.05175899375791597)	(65, 0.06268448632784282)	(70, 0.0746012880691723)	(75, 0.08725629876792926)	(80, 0.10322270393286095)	(85, 0.11918910909779265)	(90, 0.1389942008413473)	(95, 0.1612248363021637)	(100, 0.18385621376844072)	(105, 0.21138086203823708)	(110, 0.24358786426657356)	(115, 0.28001320339449565)	(120, 0.3198553954110822)	(125, 0.3667843934189726)	(130, 0.41928159613431604)	(135, 0.47658770291518715)	(140, 0.5157971443968358)
ERR8774514_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 1.9345540369306367e-05)	(20, 0.0002708375651702891)	(25, 0.0006190572918178038)	(30, 0.002379501465424683)	(35, 0.007041776694427518)	(40, 0.015882688643200527)	(45, 0.02404650667904781)	(50, 0.03400945996924059)	(55, 0.04517183676233036)	(60, 0.055192826673631054)	(65, 0.0662197846841357)	(70, 0.07736281593685615)	(75, 0.08935705096582611)	(80, 0.104504609074993)	(85, 0.12048402542004004)	(90, 0.13789501175241578)	(95, 0.15929117940086862)	(100, 0.18213826257701943)	(105, 0.21309112716790962)	(110, 0.2461913467397928)	(115, 0.28002669684570963)	(120, 0.3211940067515936)	(125, 0.37069924455664854)	(130, 0.4234738786841164)	(135, 0.4831161796426879)	(140, 0.5208786744435739)
ERR8774514_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 1.9345540369306367e-05)	(20, 0.00019345540369306366)	(25, 0.0005416751303405782)	(30, 0.0024955747076405212)	(35, 0.006848321290734452)	(40, 0.015534468916553013)	(45, 0.023388758306491397)	(50, 0.03321629281409903)	(55, 0.04457212501088187)	(60, 0.05463180600292118)	(65, 0.06571680063453372)	(70, 0.07705328729094726)	(75, 0.08955050636951918)	(80, 0.10479479218053259)	(85, 0.12071617190447173)	(90, 0.13812715823684746)	(95, 0.1595426714256696)	(100, 0.18295077527253029)	(105, 0.21398102202489772)	(110, 0.24696516835456506)	(115, 0.28060706305678884)	(120, 0.3219291372856273)	(125, 0.3715504483328981)	(130, 0.42449919232368954)	(135, 0.4842382209841077)	(140, 0.5220394068657322)
ERR8774522_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00018975368074702228)	(15, 0.0004174580976434491)	(20, 0.0006451625145398758)	(25, 0.0008538915633616003)	(30, 0.0018785614393955208)	(35, 0.004136630240285086)	(40, 0.00867174321013892)	(45, 0.013605338909561499)	(50, 0.018918441970478123)	(55, 0.02455412628866468)	(60, 0.031024726802138147)	(65, 0.038387169615122604)	(70, 0.04464904107977434)	(75, 0.05222021294158054)	(80, 0.060626300998673624)	(85, 0.07115763028013336)	(90, 0.08292235848644873)	(95, 0.0953701999434534)	(100, 0.10935504621450895)	(105, 0.12633800064136744)	(110, 0.14538927018836847)	(115, 0.16707811589775315)	(120, 0.19168916829064192)	(125, 0.22039890018766636)	(130, 0.2530175579080795)	(135, 0.2912529245786045)	(140, 0.31366283427482783)
ERR8774522_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0015180294459761782)	(6, 0.0016129062863496895)	(7, 0.0016129062863496895)	(8, 0.0029411820515788454)	(9, 0.0029411820515788454)	(10, 0.005654659686261264)	(15, 0.012447841457004663)	(20, 0.02273249095349327)	(25, 0.033586401492222945)	(30, 0.043927977092935666)	(35, 0.05360541481103379)	(40, 0.06574965037884321)	(45, 0.07707794511944045)	(50, 0.08584456516995288)	(55, 0.09339676166368435)	(60, 0.10168899751232925)	(65, 0.11174594259192143)	(70, 0.12062641485088207)	(75, 0.12800783303194124)	(80, 0.13426970449659298)	(85, 0.14167009804572683)	(90, 0.14918434380330892)	(95, 0.15544621526796062)	(100, 0.16127165326689424)	(105, 0.16726786957850015)	(110, 0.17110089392959)	(115, 0.17569293300366792)	(120, 0.18022804597352177)	(125, 0.18404209495653692)	(130, 0.18774229173110385)	(135, 0.19206867565213598)	(140, 0.1948770301271919)
ERR8774522_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 3.7950736149404456e-05)	(20, 9.487684037351114e-05)	(25, 0.00022770441689642674)	(30, 0.0010056945079592182)	(35, 0.0029601574196535477)	(40, 0.007153713764162741)	(45, 0.011935506518987702)	(50, 0.01736246178835254)	(55, 0.02292224463424029)	(60, 0.029297968307340244)	(65, 0.03637578059920417)	(70, 0.04277047964037882)	(75, 0.05092988791250078)	(80, 0.06096785762401826)	(85, 0.07180279279467323)	(90, 0.0835675210009886)	(95, 0.09571175656879805)	(100, 0.10956377526333068)	(105, 0.1261482469606204)	(110, 0.14500976282687442)	(115, 0.16645192875128795)	(120, 0.1909111781995791)	(125, 0.21967783620082768)	(130, 0.25246727223391313)	(135, 0.2904369837513923)	(140, 0.3132833269133338)
ERR8774524_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 8.737569714884363e-05)	(15, 8.737569714884363e-05)	(20, 0.00013980111543814981)	(25, 0.00022717681258699343)	(30, 0.0013106354572326544)	(35, 0.0035998787225323577)	(40, 0.007776437046247082)	(45, 0.0127393766443014)	(50, 0.017597465405777106)	(55, 0.02275263153755888)	(60, 0.02879902978025886)	(65, 0.03484542802295884)	(70, 0.041381130169692346)	(75, 0.05090508115891629)	(80, 0.05911839669090759)	(85, 0.06869477309842087)	(90, 0.08139919946386273)	(95, 0.09310754288180775)	(100, 0.10591682008382823)	(105, 0.12199394835921547)	(110, 0.14100690005880384)	(115, 0.16192464195623701)	(120, 0.18474717405151497)	(125, 0.2147170381735683)	(130, 0.2484265821335922)	(135, 0.286749562903075)	(140, 0.3130671228843067)
ERR8774524_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0008737569714884363)	(6, 0.0008737569714884363)	(7, 0.0009611326686372799)	(8, 0.0014853868515303417)	(9, 0.0014853868515303417)	(10, 0.003163000236788139)	(15, 0.007042481190196796)	(20, 0.014521840866137812)	(25, 0.02081289106085455)	(30, 0.029707737030606834)	(35, 0.038445306745491195)	(40, 0.046920749368929024)	(45, 0.053561302352241144)	(50, 0.06020185533555326)	(55, 0.06672008234285698)	(60, 0.07220727612380437)	(65, 0.07724011627957776)	(70, 0.08402047037832802)	(75, 0.08901836025524189)	(80, 0.09462788001219766)	(85, 0.09978304614397943)	(90, 0.10406445530427275)	(95, 0.10890506892631871)	(100, 0.11372820740893486)	(105, 0.11835911935782358)	(110, 0.12215122461408338)	(115, 0.1258384790337646)	(120, 0.1282150979962131)	(125, 0.1304693909826533)	(130, 0.1329683359211102)	(135, 0.13546728085956714)	(140, 0.1370050931293868)
ERR8774524_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 5.2425418289306174e-05)	(30, 0.0010310332263563549)	(35, 0.0031804753762179083)	(40, 0.007042481190196796)	(45, 0.011900569951672501)	(50, 0.01686350954972682)	(55, 0.021861399426640674)	(60, 0.028030123645349035)	(65, 0.034146422445768085)	(70, 0.04071707487136113)	(75, 0.050066274466287405)	(80, 0.05799998776740241)	(85, 0.06748898847776683)	(90, 0.0800710888672003)	(95, 0.09195418367944304)	(100, 0.10462365976602536)	(105, 0.1205784620654042)	(110, 0.1394166623706949)	(115, 0.16024702857097922)	(120, 0.18252783134393433)	(125, 0.2123404192111198)	(130, 0.24608491345000322)	(135, 0.28421566768575857)	(140, 0.3103584762726926)
ERR8774534_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 5.8642771691961246e-05)	(20, 0.00011728554338392249)	(25, 0.00017592831507588373)	(30, 0.0010555698904553025)	(35, 0.0026975674978302173)	(40, 0.005849616476273135)	(45, 0.009104290305176985)	(50, 0.012065750275621026)	(55, 0.014690014308836295)	(60, 0.017636813586357346)	(65, 0.02061293424972438)	(70, 0.024629964110623726)	(75, 0.028309798034294294)	(80, 0.03276664868288335)	(85, 0.03737010626070231)	(90, 0.04216415284652014)	(95, 0.04829232248833009)	(100, 0.05484565222490676)	(105, 0.061384321268560436)	(110, 0.06969693415589595)	(115, 0.08038457929675588)	(120, 0.08948886960193286)	(125, 0.09915026623818349)	(130, 0.11079085641903778)	(135, 0.12467453261710962)	(140, 0.13465846449766602)
ERR8774534_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 4.398207876897093e-05)	(25, 0.00010262485046093217)	(30, 0.0010262485046093218)	(35, 0.0026535854190612466)	(40, 0.005673688161197251)	(45, 0.008693790903333255)	(50, 0.011596608102085338)	(55, 0.014000961741455747)	(60, 0.016727850625131945)	(65, 0.019630667823884028)	(70, 0.023735661842321315)	(75, 0.02756210269522179)	(80, 0.0319309891862729)	(85, 0.03629987567732401)	(90, 0.04090333325514297)	(95, 0.04697286012526096)	(100, 0.05340890431845371)	(105, 0.05996223405503037)	(110, 0.06814290070605897)	(115, 0.07880122446107293)	(120, 0.0879201754591729)	(125, 0.09740564378034763)	(130, 0.10904623396120194)	(135, 0.12292991015927375)	(140, 0.13260596748844738)
