Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
ERR8774512_1	(3.0, 28.0)	(4.0, 15.0)	(5.0, 17.0)	(6.0, 15.0)	(7.0, 11.0)	(8.0, 10.0)	(9.0, 8.0)	(10.0, 6.0)	(11.0, 17.0)	(12.0, 8.0)	(13.0, 17.0)	(14.0, 311.0)	(15.0, 5993.0)	(16.0, 7295.0)	(17.0, 1325.0)	(18.0, 463.0)	(19.0, 672.0)	(20.0, 886.0)	(21.0, 1112.0)	(22.0, 1430.0)	(23.0, 1602.0)	(24.0, 1850.0)	(25.0, 2224.0)	(26.0, 2636.0)	(27.0, 3198.0)	(28.0, 3760.0)	(29.0, 4552.0)	(30.0, 5927.0)	(31.0, 7578.0)	(32.0, 10081.0)	(33.0, 14606.0)	(34.0, 23214.0)	(35.0, 46504.0)	(36.0, 135982.0)	(37.0, 664888.0)	
ERR8774512_2	(2.0, 504.0)	(3.0, 63.0)	(4.0, 38.0)	(5.0, 25.0)	(6.0, 20.0)	(7.0, 21.0)	(8.0, 12.0)	(9.0, 18.0)	(10.0, 3.0)	(11.0, 17.0)	(12.0, 14.0)	(13.0, 15.0)	(14.0, 69.0)	(15.0, 801.0)	(16.0, 1048.0)	(17.0, 1167.0)	(18.0, 1932.0)	(19.0, 2472.0)	(20.0, 2843.0)	(21.0, 3183.0)	(22.0, 3633.0)	(23.0, 3944.0)	(24.0, 4653.0)	(25.0, 5131.0)	(26.0, 5855.0)	(27.0, 6698.0)	(28.0, 7913.0)	(29.0, 9656.0)	(30.0, 11904.0)	(31.0, 14835.0)	(32.0, 19682.0)	(33.0, 27626.0)	(34.0, 41419.0)	(35.0, 71794.0)	(36.0, 168835.0)	(37.0, 530398.0)
ERR8774514_1	(8.0, 1.0)	(9.0, 0.0)	(10.0, 4.0)	(11.0, 1.0)	(12.0, 2.0)	(13.0, 6.0)	(14.0, 315.0)	(15.0, 5082.0)	(16.0, 5289.0)	(17.0, 958.0)	(18.0, 545.0)	(19.0, 842.0)	(20.0, 1154.0)	(21.0, 1493.0)	(22.0, 1735.0)	(23.0, 2135.0)	(24.0, 2462.0)	(25.0, 2947.0)	(26.0, 3432.0)	(27.0, 4070.0)	(28.0, 4913.0)	(29.0, 5923.0)	(30.0, 7360.0)	(31.0, 9796.0)	(32.0, 12803.0)	(33.0, 18070.0)	(34.0, 27969.0)	(35.0, 50700.0)	(36.0, 141561.0)	(37.0, 722262.0)						
ERR8774514_2	(2.0, 520.0)	(3.0, 86.0)	(4.0, 42.0)	(5.0, 26.0)	(6.0, 14.0)	(7.0, 13.0)	(8.0, 12.0)	(9.0, 15.0)	(10.0, 7.0)	(11.0, 16.0)	(12.0, 9.0)	(13.0, 17.0)	(14.0, 48.0)	(15.0, 643.0)	(16.0, 1131.0)	(17.0, 1348.0)	(18.0, 2366.0)	(19.0, 3087.0)	(20.0, 3493.0)	(21.0, 3869.0)	(22.0, 4391.0)	(23.0, 4909.0)	(24.0, 5458.0)	(25.0, 6248.0)	(26.0, 7136.0)	(27.0, 7849.0)	(28.0, 9127.0)	(29.0, 10937.0)	(30.0, 13271.0)	(31.0, 16722.0)	(32.0, 21689.0)	(33.0, 29770.0)	(34.0, 43874.0)	(35.0, 74853.0)	(36.0, 170007.0)	(37.0, 590827.0)
ERR8774522_1	(2.0, 2.0)	(3.0, 39.0)	(4.0, 16.0)	(5.0, 14.0)	(6.0, 7.0)	(7.0, 11.0)	(8.0, 15.0)	(9.0, 6.0)	(10.0, 7.0)	(11.0, 14.0)	(12.0, 16.0)	(13.0, 24.0)	(14.0, 1225.0)	(15.0, 18590.0)	(16.0, 14217.0)	(17.0, 1800.0)	(18.0, 648.0)	(19.0, 847.0)	(20.0, 1096.0)	(21.0, 1362.0)	(22.0, 1744.0)	(23.0, 2028.0)	(24.0, 2395.0)	(25.0, 2861.0)	(26.0, 3535.0)	(27.0, 4035.0)	(28.0, 4988.0)	(29.0, 6185.0)	(30.0, 7929.0)	(31.0, 10051.0)	(32.0, 13660.0)	(33.0, 19378.0)	(34.0, 30548.0)	(35.0, 60746.0)	(36.0, 174825.0)	(37.0, 669134.0)
ERR8774522_2	(2.0, 567.0)	(3.0, 67.0)	(4.0, 38.0)	(5.0, 23.0)	(6.0, 19.0)	(7.0, 20.0)	(8.0, 12.0)	(9.0, 11.0)	(10.0, 11.0)	(11.0, 19.0)	(12.0, 12.0)	(13.0, 18.0)	(14.0, 214.0)	(15.0, 3252.0)	(16.0, 3278.0)	(17.0, 1995.0)	(18.0, 3160.0)	(19.0, 3828.0)	(20.0, 4360.0)	(21.0, 4767.0)	(22.0, 5430.0)	(23.0, 6188.0)	(24.0, 6855.0)	(25.0, 7838.0)	(26.0, 9463.0)	(27.0, 10692.0)	(28.0, 12471.0)	(29.0, 15457.0)	(30.0, 18830.0)	(31.0, 23815.0)	(32.0, 30868.0)	(33.0, 42703.0)	(34.0, 62309.0)	(35.0, 101412.0)	(36.0, 207440.0)	(37.0, 466556.0)
ERR8774524_1	(7.0, 3.0)	(8.0, 1.0)	(9.0, 2.0)	(10.0, 3.0)	(11.0, 3.0)	(12.0, 5.0)	(13.0, 12.0)	(14.0, 1471.0)	(15.0, 17123.0)	(16.0, 10564.0)	(17.0, 1218.0)	(18.0, 682.0)	(19.0, 1074.0)	(20.0, 1468.0)	(21.0, 1713.0)	(22.0, 2198.0)	(23.0, 2498.0)	(24.0, 3046.0)	(25.0, 3707.0)	(26.0, 4321.0)	(27.0, 5178.0)	(28.0, 6325.0)	(29.0, 7771.0)	(30.0, 9617.0)	(31.0, 12668.0)	(32.0, 16725.0)	(33.0, 23814.0)	(34.0, 36768.0)	(35.0, 65650.0)	(36.0, 178772.0)	(37.0, 730083.0)					
ERR8774524_2	(2.0, 494.0)	(3.0, 84.0)	(4.0, 43.0)	(5.0, 19.0)	(6.0, 20.0)	(7.0, 10.0)	(8.0, 19.0)	(9.0, 13.0)	(10.0, 20.0)	(11.0, 16.0)	(12.0, 23.0)	(13.0, 12.0)	(14.0, 119.0)	(15.0, 2083.0)	(16.0, 3114.0)	(17.0, 2196.0)	(18.0, 3629.0)	(19.0, 4520.0)	(20.0, 4953.0)	(21.0, 5684.0)	(22.0, 6396.0)	(23.0, 7191.0)	(24.0, 8042.0)	(25.0, 9218.0)	(26.0, 10764.0)	(27.0, 12194.0)	(28.0, 14235.0)	(29.0, 17023.0)	(30.0, 20798.0)	(31.0, 25757.0)	(32.0, 33294.0)	(33.0, 44979.0)	(34.0, 64712.0)	(35.0, 104102.0)	(36.0, 213201.0)	(37.0, 525506.0)
ERR8774534_1	(6.0, 1.0)	(7.0, 0.0)	(8.0, 3.0)	(9.0, 2.0)	(10.0, 2.0)	(11.0, 2.0)	(12.0, 0.0)	(13.0, 4.0)	(14.0, 378.0)	(15.0, 4933.0)	(16.0, 4006.0)	(17.0, 671.0)	(18.0, 964.0)	(19.0, 1743.0)	(20.0, 2302.0)	(21.0, 2951.0)	(22.0, 3520.0)	(23.0, 4233.0)	(24.0, 5011.0)	(25.0, 5810.0)	(26.0, 6925.0)	(27.0, 8447.0)	(28.0, 10128.0)	(29.0, 12179.0)	(30.0, 15404.0)	(31.0, 19641.0)	(32.0, 26260.0)	(33.0, 36541.0)	(34.0, 55601.0)	(35.0, 96408.0)	(36.0, 234658.0)	(37.0, 805464.0)				
ERR8774534_2	(2.0, 577.0)	(3.0, 98.0)	(4.0, 59.0)	(5.0, 29.0)	(6.0, 24.0)	(7.0, 19.0)	(8.0, 19.0)	(9.0, 14.0)	(10.0, 19.0)	(11.0, 26.0)	(12.0, 26.0)	(13.0, 20.0)	(14.0, 86.0)	(15.0, 1364.0)	(16.0, 2399.0)	(17.0, 2940.0)	(18.0, 5660.0)	(19.0, 7122.0)	(20.0, 7918.0)	(21.0, 8611.0)	(22.0, 9583.0)	(23.0, 10412.0)	(24.0, 11457.0)	(25.0, 12944.0)	(26.0, 14622.0)	(27.0, 16750.0)	(28.0, 19402.0)	(29.0, 22703.0)	(30.0, 27509.0)	(31.0, 33833.0)	(32.0, 42989.0)	(33.0, 56786.0)	(34.0, 80262.0)	(35.0, 126090.0)	(36.0, 246534.0)	(37.0, 595286.0)
