Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR8774512_1	(1, 30.13541494198205)	(2, 31.4932564611739)	(3, 32.1414745829383)	(4, 32.19899898865373)	(5, 32.44052830451331)	(6, 36.50914693627464)	(7, 36.86652654757599)	(8, 37.002507801286804)	(9, 37.075631616856896)	(10, 37.15348292259036)	(15, 37.16766159657724)	(20, 37.14024514864892)	(25, 37.165816496017364)	(30, 37.1627653729379)	(35, 37.151679372648935)	(40, 37.14058240468405)	(45, 37.11596735429073)	(50, 37.09573241401712)	(55, 37.021595353923736)	(60, 37.02935182089785)	(65, 37.00002741918985)	(70, 36.95616346477319)	(75, 36.90489907101676)	(80, 35.72655327074024)	(85, 36.154851140163736)	(90, 36.61689106461332)	(95, 36.61877349745476)	(100, 36.642936131215585)	(105, 36.569194118372856)	(110, 36.51505999002363)	(115, 36.43795322075295)	(120, 36.314514348145664)	(125, 36.1103185793485)	(130, 35.96705710889953)	(135, 35.68574634507472)	(140, 35.45810484887281)	(145, 35.01115855568363)	(150, 31.341250272873665)
ERR8774512_2	(1, 32.88195089644932)	(2, 32.962027585814155)	(3, 33.022656687487675)	(4, 32.99190184773702)	(5, 32.98162176071273)	(6, 37.13987266950068)	(7, 37.14006671299807)	(8, 37.138868705318586)	(9, 37.12716598417491)	(10, 37.12362321392979)	(15, 37.08113148450658)	(20, 37.03719961486584)	(25, 37.00413312649422)	(30, 36.96641465618973)	(35, 36.91132908195279)	(40, 36.86459982219709)	(45, 36.866676509452766)	(50, 36.87050950127657)	(55, 36.79425061772271)	(60, 36.73473325873907)	(65, 36.6791142758012)	(70, 36.582867857432866)	(75, 36.529110215651926)	(80, 36.414713980939446)	(85, 36.160657048155485)	(90, 36.17402474687342)	(95, 36.07322315740408)	(100, 35.817685166534666)	(105, 35.62748351948502)	(110, 35.519257235238726)	(115, 35.25926067318329)	(120, 34.976611641977094)	(125, 34.670295420678926)	(130, 34.37804545468926)	(135, 33.981562914912985)	(140, 33.707667987357645)	(145, 33.40721841810257)	(150, 28.918609298690946)
ERR8774514_1	(1, 30.306772873683293)	(2, 31.614563322790016)	(3, 32.23567124188696)	(4, 32.293070427439716)	(5, 32.55851155412399)	(6, 36.53943491676581)	(7, 36.89111846241645)	(8, 36.99464999081087)	(9, 37.09173558515423)	(10, 37.15803391273227)	(15, 37.19669868353598)	(20, 37.17051391427991)	(25, 37.194288616116765)	(30, 37.18411866554463)	(35, 37.147997446388665)	(40, 37.153287871313466)	(45, 37.13709313910411)	(50, 37.05986980451332)	(55, 37.06750742385112)	(60, 37.031331263360514)	(65, 36.99940783300929)	(70, 36.88621069228016)	(75, 36.8240128454388)	(80, 36.820603580859526)	(85, 36.76824681040403)	(90, 36.654053567801284)	(95, 36.67972471296054)	(100, 36.56524515636033)	(105, 36.48547362719209)	(110, 36.43195225520637)	(115, 36.32280471644274)	(120, 36.16320749059323)	(125, 35.917193542458634)	(130, 35.78400297921322)	(135, 35.44359420794521)	(140, 35.221055492682545)	(145, 34.934579573043926)	(150, 31.234993180697018)
ERR8774514_2	(1, 32.82681388622888)	(2, 32.89895920992813)	(3, 32.9438814892197)	(4, 32.8587427333314)	(5, 32.87024462435797)	(6, 37.02297476374259)	(7, 37.023872396815726)	(8, 37.02444792664171)	(9, 37.02563284098933)	(10, 37.02096031262393)	(15, 36.94983449890214)	(20, 36.96586788930482)	(25, 36.9419070833696)	(30, 36.91293791048818)	(35, 36.87363222193204)	(40, 36.82626157105134)	(45, 36.80628497915518)	(50, 36.776101486704775)	(55, 36.72423222386659)	(60, 36.64624377315419)	(65, 36.57868837236296)	(70, 36.507586353655824)	(75, 36.39546095586315)	(80, 36.31431744097192)	(85, 36.228316067438556)	(90, 36.05538454097869)	(95, 36.02317324898678)	(100, 35.882108470444855)	(105, 35.651946451544255)	(110, 35.45983672363928)	(115, 35.1866105645996)	(120, 34.88507955853477)	(125, 34.70660863004556)	(130, 34.36435506804794)	(135, 34.05042144259694)	(140, 33.73142741069615)	(145, 33.496303647601636)	(150, 29.244383022353773)
ERR8774522_1	(1, 27.056867280583074)	(2, 30.182505090142485)	(3, 31.280112485981945)	(4, 31.42511181235638)	(5, 31.471618541970667)	(6, 34.919483718185425)	(7, 36.00421917309141)	(8, 35.756366710373264)	(9, 36.18888650642601)	(10, 36.57628420547288)	(15, 36.63874542456438)	(20, 36.66603712720517)	(25, 36.71339945616595)	(30, 36.71707707225251)	(35, 36.70609393945718)	(40, 36.69095520105351)	(45, 36.66356843181866)	(50, 36.63616173844732)	(55, 36.55730371404879)	(60, 36.561030476338665)	(65, 36.5248898005499)	(70, 36.46205267941685)	(75, 36.39830322258676)	(80, 35.227623961335794)	(85, 35.637801020495296)	(90, 36.083528052235394)	(95, 36.0763007140431)	(100, 36.09032882415337)	(105, 36.00376110770609)	(110, 35.94737048836905)	(115, 35.859443566306574)	(120, 35.73192567727833)	(125, 35.51419528310301)	(130, 35.35975855741661)	(135, 35.062998601515375)	(140, 34.8281334499686)	(145, 34.379741897043445)	(150, 30.831664291583095)
ERR8774522_2	(1, 32.63702397917264)	(2, 32.73225471016074)	(3, 32.79546071244917)	(4, 32.7475346253029)	(5, 32.731971028408026)	(6, 36.84970369962751)	(7, 36.84447503695453)	(8, 36.84232228144646)	(9, 36.820903834732135)	(10, 36.825159820037605)	(15, 36.77466332953193)	(20, 36.718624513519)	(25, 36.68121912944807)	(30, 36.62361977916466)	(35, 36.53968280774726)	(40, 36.46910848028175)	(45, 36.4455693464314)	(50, 36.43932512205906)	(55, 36.353242605773445)	(60, 36.265750029886206)	(65, 36.18062557993469)	(70, 36.042362698980455)	(75, 35.95303767179824)	(80, 35.80114838927589)	(85, 35.500560342619245)	(90, 35.469687608515386)	(95, 35.32514198319162)	(100, 35.01547194586707)	(105, 34.75722022242927)	(110, 34.57871532963061)	(115, 34.24059343566117)	(120, 33.87210374213234)	(125, 33.49002654653994)	(130, 33.11300780456889)	(135, 32.653383213250876)	(140, 32.291151216605726)	(145, 31.93221448238042)	(150, 27.65125977468648)
ERR8774524_1	(1, 27.046407854026665)	(2, 30.196147955015498)	(3, 31.362254397837276)	(4, 31.571987526245476)	(5, 31.700761828703442)	(6, 35.24070606553352)	(7, 36.17383132820671)	(8, 35.9443381858883)	(9, 36.33810812393019)	(10, 36.66003217173169)	(15, 36.74019535458369)	(20, 36.764327124125046)	(25, 36.806994948810946)	(30, 36.80379752254949)	(35, 36.767606508790436)	(40, 36.77060733973331)	(45, 36.74987256254571)	(50, 36.664828048996796)	(55, 36.6642489228761)	(60, 36.62477450516958)	(65, 36.58427324827018)	(70, 36.45347427615788)	(75, 36.38171279084093)	(80, 36.372832798739694)	(85, 36.31090946741891)	(90, 36.18640172025273)	(95, 36.20439709458332)	(100, 36.07579072821527)	(105, 35.98323959377291)	(110, 35.9231708989998)	(115, 35.804835895334406)	(120, 35.63959447191439)	(125, 35.377656810979275)	(130, 35.23466595834101)	(135, 34.88474883418976)	(140, 34.66475045937773)	(145, 34.365129058273475)	(150, 30.77677082141019)
ERR8774524_2	(1, 32.60827203200048)	(2, 32.6874230547767)	(3, 32.74109969304918)	(4, 32.64129567673788)	(5, 32.655942464850945)	(6, 36.773817522846564)	(7, 36.77319890291075)	(8, 36.76107202990346)	(9, 36.7543074034302)	(10, 36.75459993726425)	(15, 36.673718176678896)	(20, 36.685440500208394)	(25, 36.64196567358361)	(30, 36.59890378450357)	(35, 36.53424856463573)	(40, 36.45830842397834)	(45, 36.41943934510168)	(50, 36.38094108868371)	(55, 36.309918627013246)	(60, 36.204433967127514)	(65, 36.10863105874006)	(70, 36.00056899053983)	(75, 35.85774852051101)	(80, 35.73907974168249)	(85, 35.62017190294657)	(90, 35.413824058548705)	(95, 35.34023624640995)	(100, 35.14603379866717)	(105, 34.85942875516718)	(110, 34.60517089375727)	(115, 34.26012042118581)	(120, 33.87946155600389)	(125, 33.636947512544964)	(130, 33.20686143874571)	(135, 32.823756228795006)	(140, 32.447625696493525)	(145, 32.15066768138976)	(150, 28.093609516261928)
ERR8774534_1	(1, 26.635012520231758)	(2, 30.48899861603059)	(3, 31.816462052262438)	(4, 32.46289012103868)	(5, 32.666963301353476)	(6, 36.32745390678145)	(7, 36.6799424127982)	(8, 36.63116702047805)	(9, 36.8667101111867)	(10, 36.948260215570826)	(15, 36.993819638291384)	(20, 37.02756430179916)	(25, 37.070275738312496)	(30, 37.064060044333935)	(35, 37.01627967324247)	(40, 37.00975610471253)	(45, 36.98704889047876)	(50, 36.89328129764725)	(55, 36.88149366071638)	(60, 36.834539859491926)	(65, 36.78017346531867)	(70, 36.64078692735334)	(75, 36.558896401679526)	(80, 36.53727891675072)	(85, 36.455905180502455)	(90, 36.306524154957664)	(95, 36.30772442588726)	(100, 36.15706689380967)	(105, 36.04138625648003)	(110, 35.95718931059558)	(115, 35.8125451549342)	(120, 35.6076087530201)	(125, 35.29436120428796)	(130, 35.114460721071524)	(135, 34.71288440336844)	(140, 34.44225563557036)	(145, 34.10083991109756)	(150, 30.417237089793815)
ERR8774534_2	(1, 32.50324441134386)	(2, 32.59401315943797)	(3, 32.64589002134597)	(4, 32.53910959747601)	(5, 32.54623102906336)	(6, 36.63358750087964)	(7, 36.631806959724145)	(8, 36.62424130914123)	(9, 36.62972514132908)	(10, 36.620141886186104)	(15, 36.53089741033521)	(20, 36.532179927752104)	(25, 36.488079830405105)	(30, 36.44366716708498)	(35, 36.379617238629166)	(40, 36.30636112805236)	(45, 36.25798626586287)	(50, 36.21059572259623)	(55, 36.12624923764396)	(60, 36.015315879289716)	(65, 35.90994038962258)	(70, 35.7857099293941)	(75, 35.63152620745467)	(80, 35.49194218995567)	(85, 35.369847059651434)	(90, 35.15006260115878)	(95, 35.06964811404846)	(100, 34.86281564471862)	(105, 34.559561410710515)	(110, 34.29006840679318)	(115, 33.92673538622129)	(120, 33.52890678145012)	(125, 33.265651902371516)	(130, 32.81581404963524)	(135, 32.4247356677066)	(140, 32.039308982899776)	(145, 31.722965095822286)	(150, 27.718761362037014)
